celltype,mean_presence,median_presence,std_presence,total_pairs,pairs_50pct,pairs_80pct,pairs_90pct
NMPs,0.826512842838485,1.0,0.2411142465288069,1502238,1332990,1128122,793320
PSM,0.8322305342650993,1.0,0.24329228411969472,1502238,1332630,1130450,843556
differentiating_neurons,0.8313287746935571,1.0,0.2445327799608614,1501910,1331434,1125426,846036
endocrine_pancreas,0.8323317166343372,1.0,0.2431646993079795,1502238,1333026,1130098,844496
endoderm,0.8330280110963334,1.0,0.2432850154487981,1502238,1333026,1130086,849988
enteric_neurons,0.8299746925574102,1.0,0.24391388879345932,1501798,1331154,1124590,833956
epidermis,0.8263734951896212,1.0,0.24090679469406426,1502238,1333026,1130742,789760
fast_muscle,0.8251283624970257,1.0,0.24474604730297242,1499010,1326638,1112778,806548
floor_plate,0.8336568506455038,1.0,0.24393033242039472,1502238,1332702,1129790,858068
hatching_gland,0.8270857658151812,1.0,0.2437985030352973,1502238,1330002,1121290,814684
heart_myocardium,0.8344734101165502,1.0,0.2437741018870084,1502238,1333026,1130790,862644
hematopoietic_vasculature,0.8315844863960569,1.0,0.24438415537964917,1501942,1331086,1126466,846768
hindbrain,0.8333107004349507,1.0,0.24397632727260424,1502238,1332702,1128466,856692
lateral_plate_mesoderm,0.832450633843914,1.0,0.2438905881852637,1502210,1332462,1128362,849936
midbrain_hindbrain_boundary,0.8335867370871697,1.0,0.24380042799539015,1502214,1332650,1129690,856668
muscle,0.828361196206371,1.0,0.24270989027264558,1502238,1332322,1124122,817524
neural,0.8209784335105353,1.0,0.24457180062735406,1502238,1327938,1109178,782276
neural_crest,0.8345235575188487,1.0,0.24383165518380684,1502238,1333026,1130790,863364
neural_floor_plate,0.832041335067833,1.0,0.24424898667644376,1502066,1331086,1126998,848708
neural_optic,0.8347126087876889,1.0,0.24380426701596575,1502238,1333026,1130790,864468
neural_posterior,0.8330599634234618,1.0,0.2440369511003836,1502238,1332566,1128646,855092
neural_telencephalon,0.8331526898786846,1.0,0.24398734982146572,1502038,1331778,1127626,855688
neurons,0.8340975264904759,1.0,0.24401772188894963,1502238,1332550,1129602,862056
notochord,0.8841669562346316,1.0,0.22326616659618734,1502238,1332622,1238526,1115530
optic_cup,0.7390703812543118,0.8333333333333334,0.23462366458030742,1468014,1269566,946114,288156
pharyngeal_arches,0.8336861402787044,1.0,0.24397395110309095,1502238,1333026,1128766,859296
primordial_germ_cells,0.7964850767699839,0.8333333333333334,0.2472615291264217,1497330,1311654,1045934,662328
pronephros,0.834188058084005,1.0,0.24373688508364563,1502238,1333026,1130274,860720
somites,0.8336843651494193,1.0,0.24379835946589665,1502238,1332886,1129822,857620
spinal_cord,0.8342368741393394,1.0,0.24369725634778208,1502238,1333026,1130198,860828
tail_bud,0.8211186687240416,0.8333333333333334,0.23967814095943246,1502238,1332830,1126786,748464
